기관명,기관유형,홈페이지URL,게시판URL,상태,상태설명,게시물후보,상세확인,기존확인건너뜀,최근게시물,제목매칭,본문매칭,상세오류,게시판후보수,게시판조회수,게시판검증수,선정점수,재시도대상,최종확인시각
한국데이터산업진흥원,기타공공기관,https://www.kdata.or.kr/,https://www.kdata.or.kr/kr/board/notice_01/boardList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,6,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국도로공사,공기업(시장형),https://www.ex.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국도로공사서비스(주),기타공공기관,https://www.exservice.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국도로교통공단,준정부기관(위탁집행형),https://www.koroad.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국도박문제예방치유원,기타공공기관,https://www.kcgp.or.kr/,https://www.kcgp.or.kr/notice/list,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국동서발전(주),공기업(시장형),https://www.ewp.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국등산·트레킹지원센터,기타공공기관,https://komount.or.kr/,https://komount.or.kr/board/list.do?boardCode=B01,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국디자인진흥원,기타공공기관,https://www.kidp.or.kr/,https://www.kidp.or.kr/?menuno=1019,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국로봇산업진흥원,기타공공기관,https://www.kiria.org/,https://www.kiria.org/portal/inform/portalInfoPartnerComm.jsp,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국마사회,공기업(준시장형),https://www.kra.co.kr/,https://www.kra.co.kr/board/view/pr/no/1201801_1144.do?menuId=skr02_skr021,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,5,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국마약퇴치운동본부,기타공공기관,https://drugfree.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국무역보험공사,준정부기관(기금관리형),https://www.ksure.or.kr/,https://www.ksure.or.kr/rh-kr/bbs/i-412/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국문학번역원,기타공공기관,https://www.ltikorea.or.kr/,https://www.ltikorea.or.kr/kr/board/notice/boardList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,4,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국문화관광연구원,기타공공기관,http://www.kcti.re.kr/,https://www.kcti.re.kr/web/user/main.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,8,8,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국문화예술교육진흥원,기타공공기관,https://www.arte.or.kr/,https://arte.or.kr/information/notice/Notice_BoardList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
